lineage,Kingdom,Phylum,Class,Order,Family,Genus,Species,Lasker18Sc122_3_D0052,Lasker18Sc122_5_D0053,Lasker18Sc122_17_D0057,Lasker18Sc122_19_D0058,Lasker18Sc123_3_D0063,Lasker18Sc123_5_D0064,Lasker18Sc123_17_D0068,Lasker18Sc123_19_D0069,Lasker18Sc124_3_D0073,Lasker18Sc124_5_D0074,Lasker18Sc124_17_D0078,Lasker18Sc124_19_D0079,Lasker18Sc126_3_D0085,Lasker18Sc126_5_D0086,Lasker18Sc126_17_D0090,Lasker18Sc127_3_D0095,Lasker18Sc127_5_D0096,Lasker18Sc127_17_D0100,Lasker18Sc127_19_D0101,Lasker18Sc128_3_D0105,Lasker18Sc128_7_D0107,Lasker18Sc128_16_D0110,Lasker18Sc128_19_D0111,Lasker18Sc129_3_D0116,Lasker18Sc129_5_D0117,Lasker18Sc129_17_D0121,Lasker18Sc129_19_D0122,Lasker18Sc130_3_D0127,Lasker18Sc130_5_D0128,Lasker18Sc130_17_D0132,Lasker18Sc130_19_D0133,Lasker18Sc132_3_D0137,Lasker18Sc132_5_D0138,Lasker18Sc132_17_D0142,Lasker18Sc132_19_D0143,Lasker18Sc133_3_D0147,Lasker18Sc133_5_D0148,Lasker18Sc133_17_D0152,Lasker18Sc133_19_D0153,Lasker18Sc134_3_D0158,Lasker18Sc134_5_D0159,Lasker18Sc134_17_D0163,Lasker18Sc134_19_D0164,Lasker18Sc135_17_D0173,Lasker18Sc135_19_D0174,Lasker18Sc158_3_D0270,Lasker18Sc158_5_D0271,Lasker18Sc158_17_D0275,Lasker18Sc158_19_D0276
Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoida;Oncaeidae;g_;s_,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,Oncaeidae,g_,s_,0,0,0,0,3931,3,0,0,2,4762,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,274,41,91,0,2455,165,1,0,0,1,1,0,450,0,0,3,4144,0,0,0,1,269
unassigned;unassigned;unassigned;unassigned;unassigned;g_;s_,unassigned,unassigned,unassigned,unassigned,unassigned,g_,s_,140,389,85,102,1011,2025,27,18,133,387,0,0,134,145,19,89,339,47,8,122,186,23,26,995,1567,56,29,663,832,22,22,808,880,67,32,898,684,172,188,512,773,37,25,15,12,503,572,73,50
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Paracalanidae;Paracalanus;Paracalanus sp. C AC-2013,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus sp. C AC-2013,0,0,2,407,0,0,550,489,0,0,115,65,1,0,1358,0,0,976,488,0,0,556,1747,0,0,1529,369,0,0,1008,447,0,0,196,81,0,0,175,177,0,0,0,17,1299,2598,0,0,197,386
Eukaryota;Arthropoda;unassigned;unassigned;unassigned;g_;s_,Eukaryota,Arthropoda,unassigned,unassigned,unassigned,g_,s_,6,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2985,0,0,0,0,3,0,0,5417,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,2,34,0
Eukaryota;Haptista;Haptophyta;Prymnesiales;Chrysochromulinaceae;g_;s_,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_,77,160,82,85,114,326,0,0,0,1,0,0,195,106,0,44,148,0,0,0,7,5,0,28,33,16,10,247,217,22,8,504,187,7,12,168,89,48,35,163,294,2,1,0,0,178,138,15,14
Eukaryota;Haptista;Haptophyta;Prymnesiales;Chrysochromulinaceae;g_;s_,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_,0,0,161,246,0,0,9,38,0,0,65,65,0,0,65,0,0,108,72,0,0,678,404,6,14,225,223,0,18,113,77,14,0,15,6,9,0,47,16,34,38,10,1,111,78,0,20,25,22
Eukaryota;unassigned;unassigned;unassigned;unassigned;g_;s_,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_,9,25,11,17,12,16,0,0,49,82,8,8,132,58,28,37,133,31,36,32,6,45,17,2,45,155,657,6,19,372,360,0,51,38,18,0,11,1,295,197,55,51,9,52,10,101,374,98,41
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Paracalanidae;Paracalanus;Paracalanus sp. C AC-2013,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus sp. C AC-2013,0,0,4,0,0,0,6,225,0,0,745,82,0,0,203,0,0,190,1473,0,0,1567,1809,0,0,126,256,0,0,23,369,0,0,249,0,0,0,0,65,0,0,1,0,1324,127,0,0,0,1
Eukaryota;Haptista;Haptophyta;Phaeocystales;Phaeocystaceae;g_;s_,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,g_,s_,0,0,0,1,0,0,6,3,0,0,21,6,3,1,1885,0,0,2743,3316,2,0,1508,1261,0,0,3417,2485,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Eukaryota;Rhodophyta;Bangiophyceae;Bangiales;Bangiaceae;g_;s_,Eukaryota,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,g_,s_,81,72,0,0,7,27,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,0,0,0,20,0,0,12,0,0,0,15,1,0,0,10,0,1,0,0,0,2,1,0,0
Eukaryota;unassigned;unassigned;unassigned;unassigned;g_;s_,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_,41,146,217,233,6,12,15,8,0,0,1,0,44,20,79,147,580,787,302,9,24,716,172,38,29,436,494,155,185,23563,23935,32,133,211,217,17,7,10,3,28,30,0,0,10565,4579,12,4,81,55
Eukaryota;unassigned;unassigned;unassigned;unassigned;g_;s_,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_,0,34,55,104,13,38,77,75,0,0,3,0,0,4,80,6,7,239,77,1,1,8,11,58,117,62,119,31,35,45,80,15,50,31,30,59,36,106,128,199,186,12,12,566,205,53,32,91,43
Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos,0,1,441,424,0,1,4,0,0,0,50,49,1,5,67,0,4,10,11,0,0,445,400,6,7,92,20,70,76,7,0,14,16,9,11,30,18,18,14,111,131,14,4,0,0,42,29,28,13
Eukaryota;unassigned;unassigned;unassigned;unassigned;g_;s_,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_,0,0,0,4,0,0,860,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;unassigned;g_;s_,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,unassigned,g_,s_,0,1,4,0,60,79,461,138,0,0,0,0,25,0,13,0,6,121,116,0,0,85,49,3,27,294,284,54,88,48,45,8,42,95,81,0,0,0,0,84,21,29,14,30,46,22,148,496,216
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;g_;s_,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,g_,s_,16,68,20,28,1605,2856,16701,13837,4,57,12,19,37,23,983,77,393,3297,1861,23,70,1477,765,105,135,2728,1920,43,65,753,1463,66,47,1084,891,45,23,87,75,166,236,97,70,2333,1487,24,30,2887,1573
Eukaryota;Imbricatea;unknown;Euglyphida;Paulinellidae;g_;s_,Eukaryota,Imbricatea,unknown,Euglyphida,Paulinellidae,g_,s_,0,20,0,0,11,40,0,1,11,20,0,0,0,16,0,0,0,0,1,18,0,1,0,0,0,0,0,20,6,4,5,0,1,63,58,49,93,504,322,541,214,124,61,0,0,186,36,606,139
Eukaryota;unknown;Oomycota;unassigned;unassigned;g_;s_,Eukaryota,unknown,Oomycota,unassigned,unassigned,g_,s_,0,0,0,0,1,0,0,0,0,0,389,274,0,0,8,0,2,0,7,0,1,234,210,0,0,502,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Arthropoda;Malacostraca;Decapoda;unassigned;unassigned;s_,Eukaryota,Arthropoda,Malacostraca,Decapoda,unassigned,unassigned,s_,5,0,0,0,0,0,0,2,4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,3,1
Eukaryota;unassigned;unassigned;unassigned;unassigned;g_;s_,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_,118,233,0,0,0,3,0,0,29,227,0,0,0,31,0,94,320,0,0,20,148,0,0,0,0,0,0,125,63,0,0,108,143,0,0,496,429,0,0,0,0,0,0,0,0,15,10,0,0
no_hit;no_hit;no_hit;no_hit;no_hit;no_hit;no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,48,98,14969,13387,0,0,15,12,0,0,22,13,0,0,8,0,0,4,4,10,0,419,219,0,0,14,25,0,26,0,0,0,0,0,0,9,0,0,9,21,27,1,1,0,0,12,2,0,0
Eukaryota;Arthropoda;unknown;unknown;unknown;g_;s_,Eukaryota,Arthropoda,unknown,unknown,unknown,g_,s_,0,0,0,3,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,0,0,4,0,3,2,0,3,0,0,0,2,5,0,0,0,5
Eukaryota;Bacillariophyta;unassigned;unassigned;unassigned;g_;s_,Eukaryota,Bacillariophyta,unassigned,unassigned,unassigned,g_,s_,15,25,4,0,3,42,307,188,1,28,0,0,14,5,1,10,40,426,61,2,11,15,4,7,12,84,31,117,456,172,608,133,56,399,384,54,174,243,236,781,168,53,15,5977,3917,63,29,9072,5014
Eukaryota;unknown;Bolidophyceae;Parmales;Triparmaceae;g_;s_,Eukaryota,unknown,Bolidophyceae,Parmales,Triparmaceae,g_,s_,37,57,39,40,103,277,21,1,0,1,0,0,8,2,0,0,9,2,0,0,0,8,13,114,215,11,4,550,614,35,17,321,419,34,68,401,296,232,294,733,1184,55,13,36,7,574,519,95,57
Eukaryota;Rotifera;Monogononta;Ploima;Synchaetidae;g_;s_,Eukaryota,Rotifera,Monogononta,Ploima,Synchaetidae,g_,s_,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,0,2737,0,0,155,352,1,0,140,90,27,14,105,404,4,92,0,1,0,0
Eukaryota;unknown;Dictyochophyceae;Pedinellales;unknown;g_;s_,Eukaryota,unknown,Dictyochophyceae,Pedinellales,unknown,g_,s_,1,7,50,125,10,38,0,0,4,0,103,22,0,0,0,0,0,0,0,0,0,34,19,12,56,21,25,0,89,2,0,15,5,0,0,11,0,0,0,5,8,0,0,1,0,0,0,0,0
Eukaryota;Rotifera;Monogononta;Ploima;Synchaetidae;g_;s_,Eukaryota,Rotifera,Monogononta,Ploima,Synchaetidae,g_,s_,0,7,2,0,4,0,1,0,0,0,0,0,0,0,2,0,0,98,41,0,0,0,0,2,1,1,0,0,0,0,42,0,0,15,4,3,0,157,0,821,0,20,248,0,308,0,0,0,0
Eukaryota;unknown;Pelagophyceae;Pelagomonadales;unknown;Aureococcus;Aureococcus anophagefferens,Eukaryota,unknown,Pelagophyceae,Pelagomonadales,unknown,Aureococcus,Aureococcus anophagefferens,58,29,3706,3364,5,7,1,0,0,10,109,95,0,0,35,0,4,42,12,0,0,528,471,0,2,124,134,60,121,129,143,11,14,13,17,36,14,4,18,72,136,15,1,6,2,35,47,29,21
Eukaryota;Haptista;Haptophyta;Phaeocystales;Phaeocystaceae;g_;s_,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,g_,s_,6,25,85,91,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,18,53,1008,1600,14,34,41,39,8,0,9,0,92,43,3,4,5199,5073,27,24,39,1
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae;Pseudocalanus;Pseudocalanus mimus,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,352,0,0,0,0,0,0,0,216
Eukaryota;unknown;Pelagophyceae;Pelagomonadales;unknown;Aureococcus;Aureococcus anophagefferens,Eukaryota,unknown,Pelagophyceae,Pelagomonadales,unknown,Aureococcus,Aureococcus anophagefferens,29,50,1426,1404,6,11,3,3,0,1,937,657,0,9,310,4,19,498,148,9,14,2565,2113,5,7,862,714,98,97,38,70,17,46,9,6,44,15,4,3,105,94,2,0,2,0,52,29,34,15
Eukaryota;unknown;Oomycota;Saprolegniales;Saprolegniaceae;g_;s_,Eukaryota,unknown,Oomycota,Saprolegniales,Saprolegniaceae,g_,s_,0,1,0,0,6,2,0,0,0,0,562,316,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,8,4,1,5,0,0,0,0,7,12,0,0,19,3,0,0,0,0,29,4,0,0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Acartiidae;Acartia;unassigned,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,unassigned,0,0,0,0,0,0,23,758,0,0,0,0,0,0,36,0,0,88,7,0,0,30,2,0,0,1,331,0,0,106,123,0,0,149,790,0,0,86,205,0,0,66,80,630,456,0,10,1216,628
unassigned;unassigned;unassigned;unassigned;unassigned;g_;s_,unassigned,unassigned,unassigned,unassigned,unassigned,g_,s_,0,4,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,3,203,155,1,1,2270,1930,65,53,1633,379,391,646,4714,5334,109,73,16,16,194,120
no_hit;no_hit;no_hit;no_hit;no_hit;no_hit;no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,9,26,4,9,0,0,0,0,21,5,19,0,0,0,4,0,0,0
Eukaryota;unassigned;unassigned;unassigned;unassigned;g_;s_,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_,9,80,27,71,87,252,0,0,0,11,3,4,12,10,3,11,82,0,0,0,0,49,35,9,20,76,44,257,433,10,10,119,210,19,9,208,214,12,16,154,77,3,0,17,0,192,104,25,37
Eukaryota;Arthropoda;unassigned;unassigned;unassigned;g_;s_,Eukaryota,Arthropoda,unassigned,unassigned,unassigned,g_,s_,1,0,0,0,38,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,2,3,0,0,800,704,0,0,0,3,0,0,0,0,0,0,0,0,905,0,0,0
no_hit;no_hit;no_hit;no_hit;no_hit;no_hit;no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,235,601,0,0,52,210,0,0,108,266,0,0,255,169,0,177,424,0,0,73,176,0,0,59,95,0,0,225,295,0,1,223,187,0,0,202,220,0,0,99,92,0,0,0,0,112,57,1,5
Eukaryota;unknown;Phaeophyceae;unassigned;unassigned;g_;s_,Eukaryota,unknown,Phaeophyceae,unassigned,unassigned,g_,s_,0,0,29,77,3,2,0,4,0,0,0,0,1,4,1,0,0,0,1,0,0,2,0,0,0,6,0,6,2,103,109,0,14,125,117,17,2,58,178,72,84,132,111,282,161,31,106,1074,599
Eukaryota;Haptista;Haptophyta;Prymnesiales;Chrysochromulinaceae;g_;s_,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_,0,2,110,110,9,22,52,5,1,0,4,0,0,9,48,0,0,64,60,0,0,61,65,49,134,179,112,119,48,81,21,25,33,52,56,53,49,149,275,411,539,42,3,99,57,77,65,43,48
Eukaryota;Bacillariophyta;Mediophyceae;Cymatosirales;Cymatosiraceae;g_;s_,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,g_,s_,0,4,2,0,3,4,8,3,0,12,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,0,5,13,5,4,261,258,18,21,9458,9163,27,42,179,179,39,22,2,5,430,321
Eukaryota;Arthropoda;Malacostraca;Decapoda;Polychelidae;g_;s_,Eukaryota,Arthropoda,Malacostraca,Decapoda,Polychelidae,g_,s_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Haptista;Haptophyta;unassigned;unassigned;g_;s_,Eukaryota,Haptista,Haptophyta,unassigned,unassigned,g_,s_,137,146,0,0,1,28,0,0,19,96,0,0,18,16,0,9,0,0,0,0,0,0,0,37,100,0,0,5,0,0,0,25,13,0,0,3,7,0,0,0,2,1,0,0,0,5,0,0,0
Eukaryota;Imbricatea;unknown;Euglyphida;Paulinellidae;g_;s_,Eukaryota,Imbricatea,unknown,Euglyphida,Paulinellidae,g_,s_,2,0,0,0,446,1106,0,0,1,33,0,0,189,148,0,235,412,0,0,38,91,0,0,2,0,0,0,312,1017,0,0,243,202,0,1,59,225,35,3,44,47,0,1,0,0,283,165,1,5
Eukaryota;unknown;Phaeophyceae;Sphacelariales;Sphacelariaceae;g_;s_,Eukaryota,unknown,Phaeophyceae,Sphacelariales,Sphacelariaceae,g_,s_,0,0,96,96,0,0,0,0,0,0,676,622,0,0,11,0,0,16,13,0,0,142,99,1,0,107,114,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Forskaliidae;g_;s_,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Forskaliidae,g_,s_,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,30,210,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
