lineage,Kingdom,Phylum,Class,Order,Family,Genus,Species,CN19_Nisk_SM_Night_100m_1,CN19_Nisk_SM_Day_5m_1,CN19_Nisk_SM_Day_5m_2,CN19_Nisk_SM_Day_10m_1,CN19_Nisk_SM_Day_10m_2,CN19_Nisk_SM_Day_100m_1,CN19_Nisk_SM_Day_100m_2,CN19_Nisk_SM_Day_100m_3,CN19_Nisk_SM_Dusk_5m_2,CN19_Nisk_SM_Dusk_50m_2,CN19_Nisk_SM_Dusk_100m_1,CN19_Nisk_SM_Dusk_100m_2,CN19_Nisk_SM_Dusk_100m_3,CN19_Nisk_SM_Night_5m_1,CN19_Nisk_SM_Night_5m_2,CN19_Nisk_SM_Night_23m_1,CN19_Nisk_SM_Night_23m_2,CN19_Nisk_SM_Night_100m_2,CN19_Nisk_SM_Night_100m_3,CN19_Buck4_SM_Night_0m_1,CN19_Buck4_SM_Night_0m_2,CN19_Nisk_SM_Dawn_11m_1,CN19_Nisk_PB_Day_100m_3,CN19_Nisk_PB_Dusk_70m_3,CN19_Nisk_PB_Night_5m_1,CN19_Nisk_PB_Night_15m_1,CN19_Buck3_SN_0m_2,CN19_Nisk_SM_Dawn_5m_1,CN19_Nisk_SM_Dawn_11m_2,CN19_Nisk_SM_Dawn_100m_1,CN19_Nisk_SM_Dawn_100m_2,CN19_Nisk_SM_Dawn_100m_3,CN19_Nisk_PB_Day_5m_1,CN19_Nisk_PB_Day_5m_2,CN19_Nisk_PB_Day_28m_1,CN19_Nisk_PB_Day_28m_2,CN19_Nisk_PB_Day_100m_1,CN19_Nisk_PB_Day_100m_2,CN19_Nisk_PB_Dusk_5m_1,CN19_Nisk_PB_Dusk_5m_2,CN19_Nisk_PB_Dusk_10m_1,CN19_Nisk_PB_Dusk_10m_2,CN19_Nisk_PB_Dusk_70m_1,CN19_Nisk_PB_Dusk_70m_2,CN19_Nisk_PB_Night_15m_2,CN19_Nisk_PB_Night_100m_2,CN19_Buck5_0m_1,CN19_Nisk_PB_Dawn_5m_1,CN19_Nisk_PB_Dawn_45m_1,CN19_Nisk_PB_Dawn_45m_2,CN19_Nisk_PB_Dawn_100m_2,CN19_Nisk_MO_Night_7m_1,CN19_Nisk_MO_Night_100m_1,CN19_Nisk_MO_Night_100m_3,CN19_Nisk_MO_Dawn_5m_2,CN19_Nisk_MO_Dawn_26m_2,CN19_Nisk_MO_Dawn_100m_2,CN19_Nisk_MO_Dawn_100m_3,CN19_Nisk_PS_Dusk_75m_2,CN19_Nisk_PS_Dusk_10m_2,CN19_Nisk_PS_Dawn_10m_2,CN19_Nisk_PS_Dawn_100m_2,CN19_Nisk_PS_Dawn_100m_3,CN19_Buck1_SN_0m_1,CN19_Buck1_SN_0m_2,CN19_Buck2_SN_0m_1,CN19_Nisk_SM_Dusk_5m_1,CN19_Nisk_PB_Night_5m_2,CN19_Nisk_PB_Night_100m_3,CN19_Buck5_0m_2,CN19_Nisk_PB_Dawn_5m_2,CN19_Nisk_PB_Dawn_100m_1,CN19_Nisk_PB_Dawn_100m_3,CN19_Nisk_MO_Night_5m_1,CN19_Nisk_MO_Dawn_100m_1,CN19_Nisk_Far_5m_1,CN19_Nisk_Far_5m_2,CN19_Nisk_PS_Dusk_75m_1,CN19_Nisk_PS_Dusk_75m_3,CN19_Nisk_PS_Dusk_10m_1,CN19_Nisk_PS_Dusk_5m_1,CN19_Nisk_PS_Dusk_5m_2,CN19_Nisk_PS_Dawn_5m_1,CN19_Nisk_PS_Dawn_10m_1,CN19_Nisk_PS_Dawn_100m_1,CN19_Buck2_SN_0m_2,CN19_Nisk_SM_Dusk_50m_1,CN19_Nisk_MO_Dawn_5m_1,CN19_Nisk_Dav_Dawn_27m_2,CN19_Nisk_Dav_Dusk_5m_1,CN19_Nisk_Dav_Dusk_5m_2,CN19_Nisk_Dav_Dusk_13m_1,CN19_Nisk_Dav_Dusk_13m_3,CN19_Nisk_Dav_Dusk_70m_1,CN19_Nisk_Dav_Dusk_70m_2,CN19_Nisk_Dav_Dusk_70m_3,CN19_Buck6_Dav_Night_0m_1,CN19_Buck6_Dav_Night_0m_2,CN19_Nisk_Dav_Predusk_12m_1,CN19_Nisk_MO_Night_5m_2,CN19_Nisk_MO_Night_100m_2,CN19_Nisk_MO_Dawn_26m_1,CN19_Nisk_Dav_Dawn_5m_1,CN19_Nisk_Dav_Dawn_5m_2,CN19_Nisk_Dav_Dawn_27m_1,CN19_Nisk_Dav_Dawn_100m_1,CN19_Nisk_Dav_Dawn_100m_2,CN19_Nisk_Dav_Dawn_100m_3,CN19_Nisk_Far_13m_1,CN19_Nisk_Far_13m_2,CN19_Nisk_Far_60m_1,CN19_Nisk_Far_60m_2,CN19_Nisk_Far_60m_3
Eukaryota;Bacillariophyta;unassigned;unassigned;unassigned;unassigned;unassigned,Eukaryota,Bacillariophyta,unassigned,unassigned,unassigned,unassigned,unassigned,259,248,459,269,551,13,25,13,935,2073,70,35,12,10,33,45,169,145,135,1057,910,1357,1325,11342,13481,7158,221,2128,1532,81,34,1455,8,2,257,289,1046,1390,3677,4959,7982,5797,8271,11018,7060,1040,18,9,8,3,8,4779,5201,4679,1662,2046,452,153,452,1162,7930,976,1775,1638,852,479,785,15138,1684,5,1,15,22,5449,182,8800,8823,304,136,1442,1196,631,6210,12645,1114,512,2871,3192,17454,3636,2969,4559,4694,1413,2369,3860,13743,12140,39,5391,5082,1617,164,218,2,34,71,912,8778,9544,1127,1402,1926
Eukaryota;Arthropoda;Hexanauplia;Cyclopoida;Oithonidae;Oithona;Oithona similis,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis,7897,225,5,632,280,8,20,20,866,2075,19,1,2,931,1766,306,1916,1824,6429,87,103,914,3,474,2375,5416,537,259,1742,3,16,1173,16145,8617,8804,7904,191,46,2346,3962,4808,5993,55,544,2643,15145,8751,6072,6653,3020,13,398,16,8,733,3263,2,5,7993,6119,1954,75,38,221,206,98,1065,423,276,11575,8396,57,21,1753,34,560,850,9667,56,1552,1143,566,4339,14153,78,213,747,1213,24,465,792,1219,1005,3,306,3,734,975,59,968,6,2555,2373,1915,5213,26,21,875,2932,1369,833,6,2154
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Skeletonemataceae;Skeletonema;unassigned,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,unassigned,12,194,305,375,449,11,9,16,5,35,2,0,4,0,3,0,9,9,8,81,77,546,86,83,69,371,2,547,562,66,48,310,2,1,55,56,154,172,185,173,349,225,100,154,99,13,0,0,3,0,1,41,329,206,103,35,30,54,44,343,1033,70,49,222,204,25,4,46,28,0,0,0,0,117,23,25,51,8,27,338,230,91,631,1108,65,17,44,95,14,0,0,1,1,7,15,74,7,0,0,134,322,23,23,17,1,55,43,0,26,40,27,46,75
Eukaryota;unknown;unknown;unknown;unknown;unknown;Acantharian sp. 6201,Eukaryota,unknown,unknown,unknown,unknown,unknown,Acantharian sp. 6201,11602,22,6,19,24,9988,12115,10471,861,23,11786,10631,15051,212,40,37,54,11092,11394,5,6,6,3559,68,15,50,13,5,3,3045,2721,350,170,16,9,5,3353,3784,6,4,23,15,36,65,24,797,0,29,10,13,599,4,1717,959,0,10,717,516,1474,18,21,2000,2487,132,56,2,652,7,1253,28,61,964,716,3,556,2,3,1190,872,6,19,42,7,19,2351,2,22,0,42,1,2,9,1,930,1398,2024,6,20,46,1,1578,4,0,1,24,1056,1176,40,6,0,372,531,696
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Thalassiosira;unassigned,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unassigned,443,4957,4863,4285,4010,146,91,51,733,2900,85,222,42,81,82,74,175,502,377,1554,1578,5404,306,3001,2037,6921,201,5182,5243,420,300,3016,26,13,129,223,232,288,3574,4282,6590,4959,2083,3666,3297,516,16,12,22,33,34,392,479,354,325,189,42,46,647,6393,613,101,149,798,1038,320,437,1577,719,6,4,5,22,696,31,1705,1868,563,357,6045,3858,1899,404,759,91,218,3047,294,388,505,352,717,452,89,295,600,1442,1070,37,599,315,94,292,285,48,28,29,27,823,830,267,293,464
Eukaryota;unknown;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;Gyrodinium rubrum,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium rubrum,564,640,1194,277,237,5,7,8,2671,4255,319,104,338,609,451,691,2222,92,55,127,79,1783,14,845,1684,3561,129,2941,2040,109,52,1973,106,8,120,99,17,133,6744,6797,11818,7970,2014,1790,3868,10,27,6,136,663,9,1375,16,39,3,15,2,27,7,2897,539,12,3,450,328,499,1496,1270,22,8,6,6,14,2517,10,3265,3236,14,6,3956,2977,1259,538,1280,17,116,7397,746,193,2696,2328,6974,3677,157,183,134,3798,3810,154,1801,42,93,228,2,10,28,15,3,1139,1156,46,51,19
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia simulans,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia simulans,31,393,628,538,847,18,19,18,64,21,37,55,48,1286,1424,745,1945,82,48,23,11,140,0,301,98,394,8,77,102,47,44,93,3,2,5,9,0,5,229,322,474,313,170,345,248,126,2,7,6,19,17,0,1,0,1,2,10,8,95,947,5,73,73,210,204,32,49,84,191,2,13,3,0,0,12,0,1,118,49,1183,738,546,7,12,60,15,12,1,3,3,0,3,1,2,3,1,2,0,2,1,3,1,2,4,1,0,2,0,1,0,4,0,0
Eukaryota;unassigned;unassigned;unassigned;unassigned;unassigned;unassigned,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,315,49,49,40,28,30,26,26,134,179,37,0,39,134,188,65,198,334,304,139,364,314,40,67,53,77,102,392,333,74,65,242,24,14,11,22,22,24,29,38,80,61,72,51,38,125,22,27,24,15,22,19,36,22,25,82,47,42,223,203,32,102,99,209,153,76,92,73,213,6,20,42,23,15,49,7,1,196,138,205,81,61,31,51,122,91,363,67,37,49,33,96,81,36,90,88,18,27,77,14,28,72,0,4,63,73,86,0,3,2,8,23,10
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Clausocalanidae;Pseudocalanus;Pseudocalanus newmani,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus newmani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,2,3,4,1,9,0,121,2,0,1,2,0,11,0,1,1,2,2,2,10,0,2,0,796,1,3,6455
Eukaryota;Chordata;Appendicularia;Copelata;Oikopleuridae;Oikopleura;Oikopleura dioica,Eukaryota,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,Oikopleura dioica,11,78,485,226,542,5,1,1,266,335,4,1,2,111,208,209,515,6,11,171,770,186,11,437,145,630,699,491,219,5,12,68,179,197,285,115,6,1,267,602,382,314,690,4472,221,104,2483,1153,136,347,2,1419,102,10,2592,98,10,8,29,340,483,32,24,3325,3418,184,240,104,45,3152,1314,12,7,875,9,355,272,29,8,319,935,110,665,301,16,134,608,5080,323,173,232,355,338,11,12,12,2053,5812,817,962,2,8206,1509,458,607,9,4,93,154,892,12,13,14
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;unassigned,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,unassigned,180,468,1034,206,584,19,21,24,5839,1950,24,15,36,13246,14606,4529,12277,302,241,266,246,3929,274,1151,1189,1492,40,6449,4553,234,174,4032,20,18,99,171,207,261,1480,1831,2962,1935,792,1250,1391,177,12,13,10,20,2,1067,334,251,797,104,18,31,236,1739,2530,81,67,182,336,86,4706,978,325,4,6,4,7,1088,26,79,98,238,143,2487,1749,752,2260,3133,62,66,2421,1863,73,1255,1009,1977,1095,963,2324,3927,1457,1620,10,887,178,64,14,23,8,5,3,3,45,36,3,5,10
Eukaryota;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;unassigned;unassigned,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,unassigned,unassigned,2,0,0,0,0,2,11,0,0,2853,14,1,3,0,3,0,0,2,0,17,5,3979,12,2,1,0,15,1,323,97,244,6291,12,9,2,9,56,37,46,1948,7025,2239,56,7,1718,12,6,4,6,1,2,1,16,2,2,3,3,0,57,4,5076,5,11,2,4,3,2,17,17,37,3,3,16,0,11,0,5,11,25,13,2,5,708,11,8,0,1,0,6,0,0,0,0,0,5,0,14,7,0,0,1,3,0,6,0,2,1,0,1,0,4,0,2
Eukaryota;Chordata;Thaliacea;Pyrosomata;Pyrosomatidae;Pyrosoma;Pyrosoma atlanticum,Eukaryota,Chordata,Thaliacea,Pyrosomata,Pyrosomatidae,Pyrosoma,Pyrosoma atlanticum,1,0,0,0,0,16,22,10,0,0,0,0,0,11,35,20,28,2,2,4,4,0,0,12,0,0,1,0,0,1,0,0,51,50,1,4,2,1,0,1,0,0,13,6,0,9,1628,119,64,63,7,0,0,1,44,175,91,140,3,0,0,37,44,0,1,2,0,0,24,1668,105,4,7,0,71,0,0,2,9,1,0,0,2,4,20,21,28,1982,8,34,0,11,1,0,1,4,45,72,55,5,2,173,73,49,50,15,34,2,1,0,1,5,7
Eukaryota;Basidiomycota;Agaricomycetes;Polyporales;unassigned;unassigned;unassigned,Eukaryota,Basidiomycota,Agaricomycetes,Polyporales,unassigned,unassigned,unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,1,0,0,0,0,0,0,0,30,0,0,0,0
Eukaryota;unassigned;unassigned;unassigned;unassigned;unassigned;unassigned,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,1548,2,0,2,1,411,920,786,1,4,4783,8075,7091,6,2,1,0,1178,1162,0,5,0,596,66,0,4,5,2,0,1366,1246,60,0,0,3,0,409,669,2,1,5,6,138,51,1,1361,1,0,6,3,379,0,949,671,0,2,2082,1689,639,2,0,1176,1155,2,0,0,0,2,1350,0,0,207,271,2,1394,2,1,809,494,0,3,0,0,3,1308,0,4,0,1,0,0,2,2,249,610,1099,1,2,16,1,729,4,2,2,24,1832,2010,67,5,2,263,371,459
Eukaryota;unknown;Dinophyceae;unassigned;unassigned;unassigned;unassigned,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned,1,2864,2823,435,469,728,206,121,367,1431,45,1,566,43,0,212,456,1673,1295,2882,2579,8149,36,195,146,1477,43,5091,5649,487,24,5339,5,8,106,8,25,4,821,622,1382,784,8,42,1130,0,12,0,1,3,0,199,3,1,0,3,930,3,0,1320,605,4,0,654,72,133,186,4,0,14,2,0,2,78,0,15,148,7,5,571,936,723,987,508,0,85,2541,1,2,126,67,393,60,1,1,1,317,344,7,0,3,270,211,0,0,4,2,0,227,38,0,1,0
