lineage,Kingdom,Phylum,Class,Order,Family,Genus,Species,CN18FESPkoa_SC24,CN18FESPkoa_SC26,CN18FESPkoa_SC29,CN18FESPkoa_SC30,CN18FESPkoa_SC31,CN18FESPkoa_SC32,CN18FESPkoa_SC34,CN18FESPkoa_SC35,CN18FESPkoa_SC37,CN18FESPkoa_SC40,CN18FESPkoa_SC41,CN18FESPkoa_SC43,CN18FESPkoa_SC44,CN18FESPkoa_SC46,CN18FESPkoa_SC47,CN18FESPkoa_SC49,CN18FESPkoa_SC52,CN18FESPkoa_SC53,CN18FESPkoa_SC55,CN18FESPkoa_SC56,CN18FESPkoa_SC57,CN18FESPkoa_SC58,CN18Fc12_8_eDNA,CN18Fc19_5_eDNA,CN18Fc21_6_eDNA,CN18Fc22_6_eDNA,CN18Fc24_6_eDNA,CN18Fc25_5_eDNA,CN18Fc27_4_eDNA,CN18Fc29_6_eDNA,CN18Fc30_4_eDNA,CN18Fc32_4_eDNA,CN18Fc33_5_eDNA,CN18Fc36_6_eDNA,CN18Fc38_5_eDNA,CN18Fc40_6_eDNA,CN18Fc41_6_eDNA,CN18Fc43_5_eDNA,CN18Fc44_8_eDNA,CN18Fc46_8_eDNA,CN18Fc47_6_eDNA,CN18Fc49_6_eDNA,CN18Fc51_5_eDNA,CN18SESPkoa_SC36,CN18SESPkoa_SC37,CN18SESPkoa_SC39,CN18SESPkoa_SC40,CN18SESPkoa_SC41,CN18SESPkoa_SC44,CN18SESPkoa_SC45,CN18SESPkoa_SC47,CN18SESPkoa_SC49,CN18Sc09_2_eDNA,CN18Sc10_2_eDNA,CN18Sc14_2_eDNA,CN18Sc14_8_eDNA,CN18Sc15_2_eDNA,CN18Sc15_8_eDNA,CN18Sc18_2_eDNA,CN18Sc18_8_eDNA,CN18Sc27_2_eDNA,CN18Sc27_8_eDNA
no_hit;no_hit;no_hit;no_hit;no_hit;no_hit;no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,61,4,10,8,278,0,49,7,6,2,4,280,10,4,8,4,2165,7,962,22,33,8,75,1896,4413,5440,4237,1981,828,8463,2599,722,600,2205,2488,3698,6144,1761,1158,2062,780,680,3857,87,0,161,351,28,3,1,0,1,1,2,3,336,1,733,5,578,0,113
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;Minidiscus;unassigned,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Minidiscus,unassigned,217,26,13,9,14,32,12,7,9,17,20,13,14,18,4,6,5,12,10,5,12,11,0,2,2,0,1,4,4,2,4,5,1,3,4,2,8,2,7,14,0,24,74,441,9,89,40,2113,2858,33,51,42,53,35,49,61,21,4427,54,16,55,810
Eukaryota;Arthropoda;Hexanauplia;Calanoida;Calanidae;unassigned;unassigned,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,unassigned,unassigned,37,0,2,4,30,3,2,6,3478,2,6,5,3,7,3,1,1,4,3,4,0,0,0,9,4,4,4,3,6,13,3,0,2749,13,4,5476,5942,115,3,2,7,4,3,3,0,1,0,0,2,1,0,0,0,0,3,1,0,2,1,1,1,0
Eukaryota;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;unassigned;unassigned,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,unassigned,unassigned,2,0,1,0,0,0,1,1,0,2,0,0,0,0,0,1,1,4,2,1,0,10,1,1,0,0,1,0,0,5,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,4,5,5,3,5,3,0,1,7,1,1,0
Eukaryota;Cnidaria;Hydrozoa;Anthoathecata;Pandeidae;Leuckartiara;Leuckartiara octona,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Pandeidae,Leuckartiara,Leuckartiara octona,0,0,0,0,0,0,1,3,0,0,2,0,0,1,0,0,1,0,2,0,0,4,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,2,1,0,0,0,0,5,0,1,0,1,0,0,1,0,1,0,4,0,3,0,6,2,2,0
Eukaryota;unknown;unknown;unknown;unknown;unknown;Acantharian sp. 6201,Eukaryota,unknown,unknown,unknown,unknown,unknown,Acantharian sp. 6201,2,0,2,1,3,2,1,2,4,0,3,10,1,6,5,7,0,7,4,3,6,5,0,3,2,3,3,2,3,3,5,0,3,5,5,5,5,8,0,3,1,1,3,14,203,3,561,1,2,346,585,464,727,443,1098,316,264,4,1010,3,1898,3
Eukaryota;Arthropoda;Malacostraca;Decapoda;unassigned;unassigned;unassigned,Eukaryota,Arthropoda,Malacostraca,Decapoda,unassigned,unassigned,unassigned,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,2,1,0,0,0,1,1,0,0,0
Eukaryota;Chordata;Ascidiacea;Enterogona;Ascidiidae;g_;s_,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,g_,s_,2,0,0,0,0,0,2,2,0,5,0,0,2,0,2,0,1,0,0,1,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;unassigned;unassigned;unassigned,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,unassigned,unassigned,unassigned,3,1,3,2,7,10,10,8,13,10,11,33,11,25,6,8,14,21,126,137,93,29,6,77,5,29,15,14,21,73,23,16,2,10,7,7,9,14,5,0,375,4,1,79,12,8,221,8,3,22,121,68,132,30,410,619,85,3,51,27,85,13
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Thalassiosiraceae;unassigned;unassigned,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,unassigned,unassigned,272,34,60,62,88,125,137,137,165,160,199,189,159,242,110,138,133,194,244,138,168,197,55,37,43,76,23,45,34,45,51,40,31,22,29,55,89,35,20,20,11,26,120,624,8,511,28,487,1142,35,55,42,27,30,37,46,18,1023,24,36,17,174
Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;unassigned;unassigned,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,unassigned,unassigned,6,1,2,5,11,9,14,6,17,10,16,34,9,13,7,13,4,20,24,19,26,39,1,13,6,9,9,5,20,13,6,3,2,3,3,15,14,10,7,2,1,0,7,769,3,593,17,50,215,26,79,35,41,33,55,91,38,232,31,71,5,56
Eukaryota;Euglenozoa;unknown;Diplonemea;unknown;g_;s_,Eukaryota,Euglenozoa,unknown,Diplonemea,unknown,g_,s_,22,1,4,3,9,7,14,10,24,9,24,31,15,28,15,12,31,12,21,22,52,14,23,8,61,41,15,86,1,12,66,99,13,36,17,8,57,17,6,0,0,8,3,1,86,0,287,0,0,314,402,236,629,381,308,228,417,0,532,1,369,0
Eukaryota;Chordata;Thaliacea;Salpida;Salpidae;Pegea;Pegea confoederata,Eukaryota,Chordata,Thaliacea,Salpida,Salpidae,Pegea,Pegea confoederata,0,0,0,1,1,1,0,0,1,0,0,1,1,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Eukaryota;Ctenophora;Nuda;Beroida;Beroidae;Beroe;unassigned,Eukaryota,Ctenophora,Nuda,Beroida,Beroidae,Beroe,unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0
Eukaryota;Haptophyta;Haptophyta;Phaeocystales;Phaeocystaceae;Phaeocystis;unassigned,Eukaryota,Haptophyta,Haptophyta,Phaeocystales,Phaeocystaceae,Phaeocystis,unassigned,659,58,94,156,324,218,342,141,287,221,325,306,218,319,164,193,108,234,210,251,263,218,74,259,174,399,219,75,519,460,120,29,278,131,201,517,301,255,285,241,65,377,1154,253,1,67,10,410,1223,10,9,11,37,21,24,83,28,1519,26,61,13,65
Eukaryota;Mollusca;Gastropoda;Lepetellida;Lepetodrilidae;unassigned;unassigned,Eukaryota,Mollusca,Gastropoda,Lepetellida,Lepetodrilidae,unassigned,unassigned,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Eukaryota;unknown;unknown;unknown;unknown;unknown;uncultured marine picoeukaryote,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote,484,101,414,384,702,1255,1065,1052,1309,1201,1305,1110,895,1352,539,685,651,1122,1593,930,1151,1567,39,388,271,515,230,158,424,379,246,64,279,214,228,387,428,348,234,61,53,91,153,1348,2,195,2,69,136,4,6,1,7,10,7,75,7,137,37,146,10,138
Eukaryota;unassigned;unassigned;unassigned;unassigned;unassigned;unassigned,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,772,107,330,538,1466,962,1361,822,1443,1133,1509,1220,1142,1421,724,784,1058,1207,526,555,601,575,2121,640,3606,1471,1364,1899,1560,1590,2959,1803,2244,1588,1622,1727,1785,2101,1477,428,407,392,418,13,50,0,126,5,1,103,216,155,411,315,344,187,326,0,451,5,302,0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros debilis,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros debilis,7,5,1,8,4,1,11,0,7,4,4,13,2,3,0,13,0,6,2,4,2,10,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,928,2,669,11,82,423,23,15,9,6,2,10,2,1,67,3,6,4,10
Eukaryota;Arthropoda;Malacostraca;Decapoda;unassigned;unassigned;unassigned,Eukaryota,Arthropoda,Malacostraca,Decapoda,unassigned,unassigned,unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;unassigned;unassigned;unassigned,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,unassigned,unassigned,unassigned,26,3,3,9,0,10,0,4,2,2,1,11,1,7,8,5,0,19,0,0,4,0,8,3,0,0,3,0,4,1,0,0,0,0,0,6,4,0,3,5,0,8,11,294,23,234,71,79,366,45,109,106,122,107,79,29,49,766,34,27,34,64
Eukaryota;Arthropoda;Hexanauplia;Calanoida;unassigned;unassigned;unassigned,Eukaryota,Arthropoda,Hexanauplia,Calanoida,unassigned,unassigned,unassigned,56,0,0,3,0,2,215,1,39,0,0,36,0,0,0,1,0,0,2,0,13,2,1,7524,2791,2003,2059,1863,25,1229,177,0,622,3101,5025,4355,3689,1,150,320,1627,3664,1549,327,0,45,1,18,3,0,0,0,0,0,0,1,8,489,0,19,1,136
Eukaryota;Ctenophora;Tentaculata;Lobata;unassigned;unassigned;unassigned,Eukaryota,Ctenophora,Tentaculata,Lobata,unassigned,unassigned,unassigned,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,0,0,12,0,0,0,0,0,0,1,1,0,0,0
Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Eirenidae;Eutonina;Eutonina indicans,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Eirenidae,Eutonina,Eutonina indicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Eukaryota;Euglenozoa;unknown;Diplonemea;unassigned;unassigned;unassigned,Eukaryota,Euglenozoa,unknown,Diplonemea,unassigned,unassigned,unassigned,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,41,0,151,0,0,168,256,100,376,272,304,10,177,0,269,0,356,0
Eukaryota;Arthropoda;Malacostraca;Decapoda;Polychelidae;Pentacheles;Pentacheles laevis,Eukaryota,Arthropoda,Malacostraca,Decapoda,Polychelidae,Pentacheles,Pentacheles laevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Eukaryota;Cnidaria;Hydrozoa;Limnomedusae;Olindiidae;Aglauropsis;Aglauropsis aeora,Eukaryota,Cnidaria,Hydrozoa,Limnomedusae,Olindiidae,Aglauropsis,Aglauropsis aeora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;unassigned;unassigned;unassigned,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,unassigned,unassigned,unassigned,88,17,52,100,486,2717,642,58,104,82,130,153,197,245,174,247,309,490,345,442,401,419,136,121,336,216,265,246,125,174,149,48,141,53,58,69,103,61,56,7881,245,15,12,7,17,8,118,0,0,34,63,33,47,56,70,4,28,2,11,10,90,0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;unassigned,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,unassigned,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,6,0,2,10,8,3,0,20,16,6,0,8,0,0,3,11,3,0,0,0,2,1,76,0,61,0,1,2,3,23,4,2,0,34,4,17,24,0,31,0,8
Eukaryota;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Gyrodinium;Gyrodinium rubrum,Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium rubrum,388,23,88,21,12,130,29,80,145,95,36,60,17,66,7,12,29,13,108,31,18,100,24,10,24,12,4,16,18,9,16,1,16,14,6,23,66,34,28,19,3,21,13,204,13,91,6,65,466,3,36,16,90,24,72,13,15,99,33,10,58,56
Eukaryota;unknown;unknown;unknown;unknown;unknown;uncultured marine eukaryote,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote,139,122,175,199,87,57,50,34,54,33,64,59,73,101,61,192,87,200,58,22,18,25,15,33,51,200,80,5,85,125,14,2,56,432,20,69,58,127,52,71,45,372,193,64,1,53,0,0,4,1,3,0,0,0,16,1,7,25,3,8,235,7
Eukaryota;unknown;unknown;unknown;unknown;g_;s_,Eukaryota,unknown,unknown,unknown,unknown,g_,s_,63,23,19,64,146,102,190,77,183,164,200,134,175,128,78,96,67,159,44,37,51,46,80,65,100,159,143,16,221,245,100,3,290,200,217,329,251,275,267,59,53,51,43,240,3,35,0,26,28,2,0,0,8,6,12,13,2,331,8,65,8,123
Eukaryota;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;Thysanoessa;unassigned,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,unassigned,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1,0,0,1,1,0,0,0,3,1,2,1,2,5,0,1,0
Eukaryota;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;unassigned;unassigned,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,unassigned,unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Eukaryota;Arthropoda;Hexanauplia;Calanoida;unassigned;unassigned;unassigned,Eukaryota,Arthropoda,Hexanauplia,Calanoida,unassigned,unassigned,unassigned,0,1,0,2,3,1,1,22,4,4,1,0,3,3,2,11,3,0,1,0,3,12,0,2,2,0,914,938,1,2,1326,0,0,1,1092,1518,1,0,0,424,107,1069,57,6,0,0,176,0,0,0,2,1,701,0,1,15,0,0,0,122,318,0
Eukaryota;Bacillariophyta;Mediophyceae;Lithodesmiales;Lithodesmiaceae;Ditylum;Ditylum brightwellii,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii,0,2,0,0,0,0,2,2,13,0,2,0,3,1,2,0,1,3,0,5,5,0,5,0,0,12,2,0,5,1,0,0,0,0,3,0,0,0,0,0,2,0,4,1245,1,399,9,21,94,11,5,2,9,0,2,0,0,142,15,81,0,21
Eukaryota;Euglenozoa;unknown;Diplonemea;unknown;unknown;s_,Eukaryota,Euglenozoa,unknown,Diplonemea,unknown,unknown,s_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,77,0,191,0,0,121,223,138,280,174,188,0,205,0,162,0,319,0
no_hit;no_hit;no_hit;no_hit;no_hit;no_hit;no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,2,0,0,0,1,0,0,1,2,2,1,1,1,2,0,1,0,1,0,0,0,1,1,30,0,83,0,0,55,131,65,174,134,224,99,98,1,249,0,613,0
no_hit;no_hit;no_hit;no_hit;no_hit;g_;s_,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_,34,3,7,0,2,45,9,4,34,0,16,0,0,13,0,3,2,4,0,5,8,0,39,1,1,0,1,1,61,0,0,0,87,12,15,99,4,38,0,117,199,131,86,3,0,3,21,1,2,0,1,0,0,0,0,0,1,56,54,41,0,30
Eukaryota;Cnidaria;Scyphozoa;Semaeostomeae;Pelagiidae;unassigned;unassigned,Eukaryota,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,unassigned,unassigned,0,1,1,1,4,0,0,0,1,1,0,2,0,0,0,1,0,1,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,16,24,2,0,0,0,6,0,0,1
Eukaryota;Euglenozoa;unknown;Diplonemea;unknown;unknown;Diplonemida sp. 37 RG-2016,Eukaryota,Euglenozoa,unknown,Diplonemea,unknown,unknown,Diplonemida sp. 37 RG-2016,1,0,0,0,0,0,2,1,0,0,2,2,3,1,1,1,0,3,0,7,0,8,3,0,8,1,1,12,0,4,10,16,0,7,0,0,2,4,0,0,0,1,0,0,34,0,124,0,0,136,177,127,259,131,134,87,167,0,254,0,180,0
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Chaetocerotales;Chaetocerotaceae;Chaetoceros;Chaetoceros radicans,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros radicans,14,3,9,9,11,16,30,11,33,11,62,43,19,45,16,32,14,42,9,25,7,13,5,2,4,4,2,8,26,24,5,4,6,3,2,20,11,3,0,5,0,5,19,423,1,298,3,166,437,18,9,1,4,5,13,5,7,257,6,16,3,22
Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;unassigned;unassigned;unassigned,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,unassigned,unassigned,unassigned,2,0,1,2,0,0,1,2,1,0,0,7,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,533,0,426,4,12,38,9,7,5,3,2,13,6,0,31,6,27,2,5
unassigned;unassigned;unassigned;unassigned;unassigned;unassigned;unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,8,1,1,6,9,6,3,2,9,10,8,13,4,12,2,7,13,10,3,4,1,0,13,3,33,7,10,10,0,15,26,48,18,12,9,3,8,13,10,0,0,1,10,3,22,0,91,0,0,85,147,106,261,239,189,300,218,0,191,0,66,2
